时间,城市,音乐剧,卡司,剧院
2024-01-01 11:00,成都,熊猫,,熊猫剧院
2024-01-01 13:20,成都,熊猫,,熊猫剧院
2024-01-01 14:00,上海,LIZZIE丽兹,严小北 丁臻滢 陈姝月 宁梦恬,星空间11号·MOriginal Box
2024-01-01 14:00,上海,周生如故,张泽 徐瑶 毛二 黎宛曈 车鸣笛 张艺 毛珏懿 李浩楠,上剧场
2024-01-01 14:00,西安,丝路之声,宋凯文 年蔓婷 江柏成 孙晶俐 张书豪 吴凯泽 杨雨婷 王笑语 林梦圆 闫栋,丝路欢乐世界·琴音剧场
2024-01-01 14:30,上海,小说,钱蒙楠 钟嘉诚 纪晓坤,人民大舞台
2024-01-01 14:30,上海,嗜血博士,顾易 何铭海 蔡馨怡,星空间1023号·涵金小剧场
2024-01-01 14:30,上海,月亮与六便士,孙豆尔 陈旭 陈旭茂 盛可欣,星空间815号·缪时客小剧场
2024-01-01 14:30,上海,小说,陈楷 汤佳明 徐步超,星空间115号·缪时客小剧场
2024-01-01 14:30,上海,FLAMES火焰,廖婧媛 田野 相征,星空间4号·缪时客小剧场
2024-01-01 14:30,上海,灯塔,郭洧江 尹智博 张鼎棋,星空间9号·鲸剧场
2024-01-01 14:30,上海,嘿！亚利桑那,吴杭律 王桓 王逸飞 于梦滢 连江维 周波 高尔金宝音,嘿！亚利桑那
2024-01-01 14:30,上海,摇滚太白·诗与星,胥子含 范可妮 王珏语涵,星空间407号·她剧场
2024-01-01 14:30,上海,时光代理人,白倬铭 王敏辉 冯鑫垚 郭珍艳 张嘉豪,时光剧场
2024-01-01 14:30,上海,#0528,温升宝 林大钦 刘瀚聪,星空间28号·好好有戏小剧场
2024-01-01 14:30,上海,当你心动时,马灵奇 朱亚洲 黄可,星空间12号·耶比剧场
2024-01-01 14:30,上海,AI,翟松 卓群,长宁来福士The Bell 钟楼演艺新空间
2024-01-01 14:30,上海,致爱,邓贤凌 傅祥安,亚洲大厦·星空间黑匣子
2024-01-01 14:30,上海,两个人的谋杀,陈泽杨 蔡鼎延,开心麻花U剧场
2024-01-01 14:30,上海,疯子与赞美诗,张铎 钟子崴,星空间111号·墨剧场
2024-01-01 14:30,北京,空中花园谋杀案,张弌铖 刘爽 张功长 罗欢 李智浩 张亚茜 陈育新 吕京 郭炳琨 田雨,蜂巢剧场
2024-01-01 14:30,北京,婚礼歌手,李卓远 鲁芳岐 李子健 马凯漪 郭禹良 董韦凯 刘思纤 崔欣仪 乌尼思,朝阳剧场
2024-01-01 14:30,成都,致命旋律,杨博皓 刘钊 杜舟 项倩,成都开心麻花9剧场
2024-01-01 14:30,广州,阿波罗尼亚,郑金铠 王常凯 李坤嘉,阿波罗尼亚·广州馆
2024-01-01 15:20,成都,熊猫,,熊猫剧院
2024-01-01 16:00,北京,艺术区,,小柯剧场
2024-01-01 16:30,南京,火蔷薇,,花乐逗新街口店9馆
2024-01-01 17:00,上海,阿尔托，梵高,邵立君 宋元明 智博闻,星空间17号·NFP小剧场
2024-01-01 17:00,上海,LIZZIE丽兹,刘乙萱 张沁丹 陈姝月 党韫葳,星空间11号·MOriginal Box
2024-01-01 17:00,上海,彗星来电,杜鑫艳 鞠红川 周默涵,星空间3号·MOriginal Box
2024-01-01 18:30,上海,玻璃猫鱼和科里奥利效应,张超 廖婧媛 董志勇 孔奕懿 黄偲 杨佳鹏 陈芸倩 孔奕懿 李志杰 赖舒云 黄屿琦,上音歌剧院歌剧厅
2024-01-01 19:30,上海,灵魂摆渡之永生,于毅 瞿艺 于佳鑫 孙乐仟 纪晓坤 赵嘉豪 高有顺 王嘉 朱凯龙 潘天国 王奕 林梦艾 王冠华 陈诗丹 邹楚瑜 莫玉滢,云峰剧院
2024-01-01 19:30,上海,小说,钱蒙楠 钟嘉诚 张云轩,人民大舞台
2024-01-01 19:30,上海,嗜血博士,王芯芯 蒋芸 刘晓,星空间1023号·涵金小剧场
2024-01-01 19:30,上海,桑塔露琪亚,牛博为 王浩楠 吴以瀚,星空间6号·一台好戏小剧场
2024-01-01 19:30,上海,阿波罗尼亚,施天玮 邵奕磊 杜航,星空间1号·一台好戏小剧场
2024-01-01 19:30,上海,辛吉路的画材店,李珏 董豫辰 刘瀚聪,星空间2号·好好有戏剧场
2024-01-01 19:30,上海,蝶变,赵嘉艳 丁辰西 刘泽星,星空间8号·一台好戏方寸剧场
2024-01-01 19:30,上海,双重危机,杨映宇 李存贤,星空间19号
2024-01-01 19:30,上海,摇滚太白·诗与星,王款儿 易群 钟嘉媚,星空间407号·她剧场
2024-01-01 19:30,上海,少年歌行·梵音谣,王桓 周宇杰 诸葛北辰 叶炜航,星空间81号·白剧场
2024-01-01 19:30,上海,梦微之,沈育奇 许昌泰,星空间33号 鲸·剧场
2024-01-01 19:30,上海,时光代理人,丁星辰 杜光祎 冯鑫垚 郭珍艳 周波,时光剧场
2024-01-01 19:30,上海,#0528,夏阳 徐步超 王颢珏,星空间28号·好好有戏小剧场
2024-01-01 19:30,上海,当你心动时,徐佳文 施博威 葛洧吟,星空间12号·耶比剧场
2024-01-01 19:30,上海,AI,舒杨 陈棋尔,长宁来福士The Bell 钟楼演艺新空间
2024-01-01 19:30,上海,致爱,王洁璐 白倬铭,亚洲大厦·星空间黑匣子
2024-01-01 19:30,上海,疯子与赞美诗,傅祥安 张琛,星空间111号·墨剧场
2024-01-01 19:30,北京,婚礼歌手,王帅 鲁芳岐 帕赛 李想 郭禹良 刘治威 文颖倩 乌尼思 赵梓岑,朝阳剧场
2024-01-01 19:30,成都,阿波罗尼亚,王博睿 周靖杰 杜牧,西部文化产业中心·一台好戏小剧场
2024-01-01 19:30,成都,双面奇才,杨博皓 袁也 陈画风 于畅 肖杨 张飞扬 查宗伯 冯韵颖,四川歌舞大剧院
2024-01-01 19:30,武汉,小说,文振宇 刘子赫 王皓,武演新空间（梦时代馆）
2024-01-02 14:00,成都,熊猫,,熊猫剧院
2024-01-02 14:00,西安,丝路之声,梁广 田恬 周熙智 孙晶俐 谭建业 张书豪 孙紫薇 王笑语 林梦圆 闫栋,丝路欢乐世界·琴音剧场
2024-01-02 19:30,上海,嗜血博士,赵钱龙 王颢珏 洪果,星空间1023号·涵金小剧场
2024-01-02 19:30,上海,阿尔托，梵高,朱微之 施博威 何铭海,星空间17号·NFP小剧场
2024-01-02 19:30,上海,AI,王国栋 孙彩纶,长宁来福士The Bell 钟楼演艺新空间
2024-01-02 19:30,上海,致爱,李梓溪 白倬铭,亚洲大厦·星空间黑匣子
2024-01-02 19:30,上海,彗星来电,丁辰西 李存贤 陈楷,星空间3号·MOriginal Box
2024-01-03 14:00,成都,熊猫,,熊猫剧院
2024-01-03 14:00,西安,丝路之声,梁广 田恬 刘靖 孙晶俐 张书豪 吴凯泽 孙紫薇 王笑语 林梦圆 闫栋,丝路欢乐世界·琴音剧场
2024-01-03 19:30,上海,小说,于晓璘 冒海飞 桑可舟,人民大舞台
2024-01-03 19:30,上海,嗜血博士,杨皓晨 田野 潘珏辰,星空间1023号·涵金小剧场
2024-01-03 19:30,上海,桑塔露琪亚,赵霄汉 王浩楠 陈志,星空间6号·一台好戏小剧场
2024-01-03 19:30,上海,阿波罗尼亚,朱亮 邵奕磊 李存贤,星空间1号·一台好戏小剧场
2024-01-03 19:30,上海,辛吉路的画材店,温升宝 姜义哲 林大钦,星空间2号·好好有戏剧场
2024-01-03 19:30,上海,蝶变,郭耀嵘 张沁丹 刘洪书,星空间8号·一台好戏方寸剧场
2024-01-03 19:30,上海,#0528,江泽辰 于滨嘉 李珏,星空间28号·好好有戏小剧场
2024-01-03 19:30,上海,AI,王国栋 覃一凡,长宁来福士The Bell 钟楼演艺新空间
2024-01-03 19:30,上海,致爱,李梓溪 张博俊,亚洲大厦·星空间黑匣子
2024-01-03 19:30,上海,彗星来电,刘烨 徐佳文 施博威,星空间3号·MOriginal Box
2024-01-03 19:30,北京,空中花园谋杀案,张弌铖 刘爽 张功长 罗欢 李智浩 张亚茜 陈育新 吕京 郭炳琨 田雨,蜂巢剧场
2024-01-04 14:00,成都,熊猫,,熊猫剧院
2024-01-04 14:00,西安,丝路之声,宋凯文 田恬 刘靖 孙晶俐 张书豪 吴凯泽 孙紫薇 王笑语 林梦圆 闫栋,丝路欢乐世界·琴音剧场
2024-01-04 19:30,上海,玻璃猫鱼和科里奥利效应,张超 蔡璐 黄炜帆 雷美玲 尤宣程 杨佳鹏 陈芸倩 黄偲 李志杰 孔奕懿 黄屿琦,上音歌剧院歌剧厅
2024-01-04 19:30,上海,嗜血博士,顾易 何铭海 葛洧吟,星空间1023号·涵金小剧场
2024-01-04 19:30,上海,桑塔露琪亚,牛博为 王浩楠 陈志,星空间6号·一台好戏小剧场
2024-01-04 19:30,上海,阿波罗尼亚,徐杭 张智涵 赵霄汉,星空间1号·一台好戏小剧场
